account_rewards,date
-610.381191757202,2023-05-19
-1796.9827982177812,2023-05-22
189.652099609375,2023-05-23
747.3351777343778,2023-05-24
1648.518989624019,2023-05-25
1266.6058349609375,2023-05-26
-33.8671875,2023-05-30
1923.602294921875,2023-05-31
501.68935647583567,2023-06-01
-940.4476941528264,2023-06-02
-250.2320556640625,2023-06-05
-940.1004486083984,2023-06-06
1859.9146118164062,2023-06-07
263.75279235839844,2023-06-08
1722.0648089599563,2023-06-09
-269.25066357421747,2023-06-12
384.0016799926816,2023-06-13
1382.562917846677,2023-06-14
-713.5996856689453,2023-06-15
56.16441078185744,2023-06-16
-709.0777587890625,2023-06-20
1731.8779281616298,2023-06-21
-170.99186096191988,2023-06-22
-830.3575378418027,2023-06-23
1829.390073089613,2023-06-26
649.8045349121094,2023-06-27
206.005274963376,2023-06-28
2946.9819160156185,2023-06-29
-885.6585937499913,2023-06-30
-780.0622650146397,2023-07-03
256.3387451171875,2023-07-05
-577.3025064697431,2023-07-06
-1170.531912811275,2023-07-07
-281.38266876220587,2023-07-10
1019.8926895141631,2023-07-11
377.61209564209275,2023-07-12
73.21884155273438,2023-07-13
2217.011748001096,2023-07-14
-169.01742706297955,2023-07-17
632.9934875488252,2023-07-18
-1112.6385525512742,2023-07-19
-800.3716461181466,2023-07-20
431.8959655761719,2023-07-21
551.8651031494082,2023-07-24
576.5812505035428,2023-07-25
-865.3624730529846,2023-07-26
1757.41845703125,2023-07-27
417.46630859375,2023-07-28
-565.6094970703125,2023-07-31
-2040.2232055664062,2023-08-01
-864.5239480590826,2023-08-02
-6203.923137756341,2023-08-03
-122.72260270691186,2023-08-04
76.81273193359084,2023-08-07
-338.642918395999,2023-08-08
-83.48834991455078,2023-08-09
-5.520886779777356,2023-08-10
483.6366790771426,2023-08-11
-821.8269622802763,2023-08-14
