,date,actions
0,2023-11-09,[100]
1,2023-11-10,[100]
2,2023-11-13,[100]
3,2023-11-14,[100]
4,2023-11-15,[100]
5,2023-11-16,[-26]
6,2023-11-17,[100]
7,2023-11-20,[61]
8,2023-11-21,[12]
9,2023-11-22,[0]
10,2023-11-24,[0]
11,2023-11-27,[0]
12,2023-11-28,[0]
13,2023-11-29,[0]
14,2023-11-30,[0]
15,2023-12-01,[0]
16,2023-12-04,[0]
17,2023-12-05,[0]
18,2023-12-06,[0]
19,2023-12-07,[0]
20,2023-12-08,[0]
21,2023-12-11,[0]
22,2023-12-12,[0]
23,2023-12-13,[0]
24,2023-12-14,[0]
25,2023-12-15,[0]
26,2023-12-18,[0]
27,2023-12-19,[0]
28,2023-12-20,[0]
29,2023-12-21,[0]
30,2023-12-22,[0]
31,2023-12-26,[0]
32,2023-12-27,[0]
33,2023-12-28,[0]
34,2023-12-29,[0]
35,2024-01-02,[-647]
36,2024-01-03,[0]
37,2024-01-04,[100]
38,2024-01-05,[100]
39,2024-01-08,[73]
40,2024-01-09,[100]
41,2024-01-10,[100]
42,2024-01-11,[-5]
43,2024-01-12,[100]
44,2024-01-16,[83]
45,2024-01-17,[0]
46,2024-01-18,[0]
47,2024-01-19,[0]
48,2024-01-22,[0]
49,2024-01-23,[0]
50,2024-01-24,[0]
51,2024-01-25,[0]
52,2024-01-26,[0]
53,2024-01-29,[0]
54,2024-01-30,[0]
55,2024-01-31,[-22]
56,2024-02-01,[22]
57,2024-02-02,[0]
58,2024-02-05,[0]
